step,ce_loss,kl,train_acc
1,1.62267005443573,21.635604858398438,0.234375
30,1.344920039176941,10.928925514221191,0.375
60,0.5023683309555054,19.047761917114258,0.84375
90,0.08641228824853897,17.615978240966797,1.0
120,0.06704021990299225,13.544239044189453,1.0
150,0.04462330788373947,11.424333572387695,1.0
180,0.03416365757584572,9.877028465270996,1.0
210,0.020416956394910812,8.874041557312012,1.0
240,0.02233101800084114,8.305980682373047,1.0
270,0.025451520457863808,7.637840270996094,1.0
300,0.02470259927213192,7.111913681030273,1.0
330,0.01558027695864439,7.042499542236328,1.0
360,0.02112976647913456,6.596658706665039,1.0
390,0.010631594806909561,6.334532737731934,1.0
420,0.01358081866055727,6.049507141113281,1.0
450,0.011868467554450035,6.001094818115234,1.0
480,0.012314854189753532,6.0449371337890625,1.0
510,0.012974574230611324,5.432059288024902,1.0
540,0.011772597208619118,5.648283004760742,1.0
570,0.007556121330708265,5.55708122253418,1.0
600,0.012652626261115074,5.397469520568848,1.0
630,0.011202588677406311,5.420844078063965,1.0
660,0.007378368638455868,5.097713470458984,1.0
690,0.010656952857971191,5.124117851257324,1.0
720,0.009610878303647041,5.355025768280029,1.0
750,0.005074708256870508,5.002647399902344,1.0
780,0.007260174956172705,4.7756476402282715,1.0
810,0.009588413871824741,5.055187225341797,1.0
840,0.004356956575065851,5.028536796569824,1.0
870,0.008777002803981304,4.761597156524658,1.0
900,0.006464118137955666,4.480111122131348,1.0
930,0.010824024677276611,4.704715251922607,1.0
960,0.008196080103516579,4.421173095703125,1.0
990,0.0046659307554364204,4.496238708496094,1.0
1020,0.006832678336650133,4.650239944458008,1.0
1050,0.004314011428505182,4.26019811630249,1.0
1080,0.004473532550036907,4.563616752624512,1.0
1110,0.007108621299266815,4.308795928955078,1.0
1140,0.0033592816907912493,4.341974258422852,1.0
1170,0.010445760563015938,4.033163070678711,1.0
1200,0.008974941447377205,3.8667969703674316,1.0
1230,0.0066778394393622875,3.827968120574951,1.0
1260,0.01232426892966032,3.9364137649536133,1.0
1290,0.005122254602611065,4.048666477203369,1.0
1320,0.009397799149155617,4.105510711669922,1.0
1350,0.003328816732391715,3.949789047241211,1.0
1380,0.005110188387334347,3.802215814590454,1.0
1410,0.003569238353520632,4.246860504150391,1.0
1440,0.0033297264017164707,3.9985809326171875,1.0
1470,0.00543243857100606,3.7826390266418457,1.0
1500,0.007044163532555103,3.709258556365967,1.0
