step,ce_loss,kl,train_acc
1,1.4358834028244019,0.0,0.265625
30,1.1264313459396362,0.0,0.671875
60,0.12413793802261353,0.0,1.0
90,0.01702173426747322,0.0,1.0
120,0.011759642511606216,0.0,1.0
150,0.009382971562445164,0.0,1.0
180,0.007617143448442221,0.0,1.0
210,0.006861766334623098,0.0,1.0
240,0.005947034806013107,0.0,1.0
270,0.005182595457881689,0.0,1.0
300,0.004480099305510521,0.0,1.0
330,0.003960253670811653,0.0,1.0
360,0.0035383303184062243,0.0,1.0
390,0.0033527491614222527,0.0,1.0
420,0.003046546597033739,0.0,1.0
450,0.0028762598522007465,0.0,1.0
480,0.0026387828402221203,0.0,1.0
510,0.002452215878292918,0.0,1.0
540,0.002242974704131484,0.0,1.0
570,0.0020967365708202124,0.0,1.0
600,0.0019553492311388254,0.0,1.0
630,0.0018286809790879488,0.0,1.0
660,0.0017527409363538027,0.0,1.0
690,0.0016135768964886665,0.0,1.0
720,0.0015251758741214871,0.0,1.0
750,0.001462476560845971,0.0,1.0
780,0.0014014252228662372,0.0,1.0
810,0.0013010434340685606,0.0,1.0
840,0.0012667698320001364,0.0,1.0
870,0.0011531292693689466,0.0,1.0
900,0.0010951702715829015,0.0,1.0
930,0.0010545561090111732,0.0,1.0
960,0.0010069614509120584,0.0,1.0
990,0.0009743513073772192,0.0,1.0
1020,0.0009336439543403685,0.0,1.0
1050,0.0009106378420256078,0.0,1.0
1080,0.0008505901787430048,0.0,1.0
1110,0.0008188450592570007,0.0,1.0
1140,0.000774912943597883,0.0,1.0
1170,0.0007497939513996243,0.0,1.0
1200,0.0007076813490130007,0.0,1.0
1230,0.0006925215711817145,0.0,1.0
1260,0.0006621931679546833,0.0,1.0
1290,0.0006348060560412705,0.0,1.0
1320,0.0006071968819014728,0.0,1.0
1350,0.0005829021101817489,0.0,1.0
1380,0.0005747169489040971,0.0,1.0
1410,0.000555052887648344,0.0,1.0
1440,0.0005295838345773518,0.0,1.0
1470,0.0005061044939793646,0.0,1.0
1500,0.0004942715750075877,0.0,1.0
