seq_len,baseline_acc_mean,baseline_acc_std,bottleneck_acc_mean,bottleneck_acc_std
16,1.0,0.0,1.0,0.0
32,1.0,0.0,0.9997395833333332,0.0003682847818679726
64,1.0,0.0,0.9778645833333334,0.01017292967949196
128,0.8815104166666666,0.1626230670469718,0.7213541666666666,0.1096950921319966
