seq_len,baseline_acc_mean,baseline_acc_std,bottleneck_acc_mean,bottleneck_acc_std
16,1.000,0.000,1.000,0.000
32,1.000,0.000,0.912,0.046
64,1.000,0.000,0.665,0.085
128,0.916,0.117,0.486,0.066
