seq_len,signal_mass,chance_mass,concentration,top1_hit_rate,chance_hit_rate
16,0.8299058874448141,0.0625,13.278494199117025,1.0,0.0625
32,0.6071842412153879,0.03125,19.429895718892414,0.9505208333333334,0.03125
64,0.37049805372953415,0.015625,23.711875438690186,0.7330729166666666,0.015625
128,0.20081885531544685,0.0078125,25.704813480377197,0.3802083333333333,0.0078125
