seq_len,baseline_acc_mean,baseline_acc_std,bottleneck_acc_mean,bottleneck_acc_std
16,1.0,0.0,1.0,0.0
32,1.0,0.0,0.9947916666666666,0.004051132600547959
64,1.0,0.0,0.8221354166666667,0.08925949825936669
128,0.8822916666666667,0.15876278109091632,0.5671875,0.11094300162414482
