step,ce_loss,kl,train_acc
1,1.49195396900177,18.444557189941406,0.28125
30,1.3421168327331543,8.152857780456543,0.28125
60,0.37966158986091614,21.283676147460938,0.9375
90,0.0907108336687088,15.638421058654785,1.0
120,0.06105044484138489,11.976031303405762,1.0
150,0.03928108513355255,9.426874160766602,1.0
180,0.043957170099020004,8.72433853149414,1.0
210,0.034516409039497375,7.737527847290039,1.0
240,0.016944754868745804,7.4564208984375,1.0
270,0.02439156360924244,6.879768371582031,1.0
300,0.015196263790130615,6.741697788238525,1.0
330,0.025545241311192513,6.214522361755371,1.0
360,0.010212169960141182,6.329322814941406,1.0
390,0.01739824190735817,5.999018669128418,1.0
420,0.019685739651322365,5.8763885498046875,1.0
450,0.010697106830775738,5.843666076660156,1.0
480,0.009858980774879456,5.685222625732422,1.0
510,0.013684571720659733,5.610395431518555,1.0
540,0.01269892044365406,5.304349899291992,1.0
570,0.01083038467913866,5.001833915710449,1.0
600,0.013937436044216156,4.937669277191162,1.0
630,0.017896970734000206,4.81414794921875,1.0
660,0.025704706087708473,4.56626033782959,1.0
690,0.006444039288908243,4.6602559089660645,1.0
720,0.019272945821285248,4.6176042556762695,1.0
750,0.00827618595212698,4.39719295501709,1.0
780,0.00624530203640461,4.472742080688477,1.0
810,0.00949060544371605,4.355029106140137,1.0
840,0.007426749914884567,4.331453323364258,1.0
870,0.01377227995544672,4.067465782165527,1.0
900,0.00557039026170969,4.086036682128906,1.0
930,0.007984532974660397,3.9766552448272705,1.0
960,0.005929154809564352,4.15341854095459,1.0
990,0.012820374220609665,3.984739303588867,1.0
1020,0.009618806652724743,3.8708183765411377,1.0
1050,0.004766372498124838,4.083649158477783,1.0
1080,0.005517120473086834,3.731046199798584,1.0
1110,0.01480538584291935,3.3869872093200684,1.0
1140,0.009155597537755966,3.4518375396728516,1.0
1170,0.006008656229823828,3.7410669326782227,1.0
1200,0.007157045882195234,3.5174765586853027,1.0
1230,0.006103556603193283,3.41023588180542,1.0
1260,0.007020522840321064,3.705786943435669,1.0
1290,0.010180522687733173,3.424935817718506,1.0
1320,0.015329049900174141,3.4854369163513184,1.0
1350,0.00916825421154499,3.4734573364257812,1.0
1380,0.0066969688050448895,3.5075340270996094,1.0
1410,0.005877251736819744,3.4295129776000977,1.0
1440,0.013854045420885086,3.242354393005371,1.0
1470,0.006810015998780727,3.427328586578369,1.0
1500,0.004071484319865704,3.3107492923736572,1.0
