step,ce_loss,kl,train_acc
1,1.3834517002105713,0.0,0.296875
30,1.1235008239746094,0.0,0.65625
60,0.09171481430530548,0.0,1.0
90,0.01702043041586876,0.0,1.0
120,0.013584084808826447,0.0,1.0
150,0.010783368721604347,0.0,1.0
180,0.0088855205103755,0.0,1.0
210,0.007607628125697374,0.0,1.0
240,0.006593118887394667,0.0,1.0
270,0.00579542201012373,0.0,1.0
300,0.005299881100654602,0.0,1.0
330,0.004671572241932154,0.0,1.0
360,0.004086388275027275,0.0,1.0
390,0.0037457027938216925,0.0,1.0
420,0.003412182442843914,0.0,1.0
450,0.003235231153666973,0.0,1.0
480,0.0028288818430155516,0.0,1.0
510,0.002670029876753688,0.0,1.0
540,0.0024999151937663555,0.0,1.0
570,0.0022863957565277815,0.0,1.0
600,0.002150893909856677,0.0,1.0
630,0.0019850849639624357,0.0,1.0
660,0.0018448203336447477,0.0,1.0
690,0.0017287646187469363,0.0,1.0
720,0.0016542867524549365,0.0,1.0
750,0.0015399772673845291,0.0,1.0
780,0.0014546460006386042,0.0,1.0
810,0.0013660915428772569,0.0,1.0
840,0.0012840464478358626,0.0,1.0
870,0.001206116285175085,0.0,1.0
900,0.0011687593068927526,0.0,1.0
930,0.0011100638657808304,0.0,1.0
960,0.0010595956118777394,0.0,1.0
990,0.0009960581082850695,0.0,1.0
1020,0.0009417104301974177,0.0,1.0
1050,0.0009099767194129527,0.0,1.0
1080,0.0008713930728845298,0.0,1.0
1110,0.000826768227852881,0.0,1.0
1140,0.0008024265989661217,0.0,1.0
1170,0.000760542752686888,0.0,1.0
1200,0.0007299251738004386,0.0,1.0
1230,0.0006994536379352212,0.0,1.0
1260,0.0006727113504894078,0.0,1.0
1290,0.0006377985118888319,0.0,1.0
1320,0.0006157716852612793,0.0,1.0
1350,0.0005933739012107253,0.0,1.0
1380,0.000571761280298233,0.0,1.0
1410,0.0005494016222655773,0.0,1.0
1440,0.0005284116487018764,0.0,1.0
1470,0.0005140004795975983,0.0,1.0
1500,0.0004964781692251563,0.0,1.0
